;nome;cpf;email;endereco;bairro;estado;estado_nome;sigla;telefone;pais;code;cartao_cred;cartao_num;credt_exp;cvv;data;data_hora;digtap_ptcao
10;Heloísa Santos;309.862.475-29;drocha@example.org;"Favela Francisco da Mata, 73
Nossa Senhora Do Rosário
06482380 Barros / RJ";Vila Madre Gertrudes 4ª Seção;('RS', 'Rio Grande do Sul');Rondônia;TO;+55 38 9 1697 6416;Samoa Americana;SY;"VISA 13 digit
Ana Lima
4039744536529 09/34
CVC: 542
";3556017237526054;10/31;601;2020-10-10;2003-07-07 21:40:33;2025-07-31
11;Emanuelly da Rocha;756.938.210-21;tdias@example.com;"Área Rebeca Correia
Serra Do Curral
53602092 Dias de Moreira / RS";Vila Bandeirantes;('RN', 'Rio Grande do Norte');Minas Gerais;SC;+55 (62) 92131-6794;Pitcairn;HU;"VISA 16 digit
Kaique Nogueira
4582058616470320 05/35
CVC: 879
";4762583976210852577;08/29;378;1976-02-21;2023-04-01 03:56:35;2025-07-31
12;Maria Eduarda Correia;326.419.708-13;sabrina79@example.net;"Área Breno Melo, 951
Casa Branca
61112-695 Martins de Minas / PE";Comiteco;('MA', 'Maranhão');Amapá;AL;+55 (17) 9 7333 5679;Navassa Island;GN;"American Express
Nathan Costela
373442203998128 06/34
CID: 1644
";379656731424653;01/33;070;2015-03-20;1981-09-19 01:52:26;2025-07-31
13;Júlia Nascimento;780.694.251-30;carvalhovicente@example.com;"Quadra Arthur Ferreira, 1
Ipe
09793653 Nascimento / PR";Padre Eustáquio;('RO', 'Rondônia');Sergipe;TO;+55 (039) 92897 0414;São Tomé e Príncipe;GW;"VISA 16 digit
Pedro Miguel Carvalho
4425382794023094 05/27
CVC: 360
";4406749923739639;01/26;133;2022-05-02;2003-09-10 12:20:15;2025-07-31
14;Beatriz Cardoso;695.214.830-24;biancacunha@example.org;"Colônia Sales, 4
Vila Madre Gertrudes 4ª Seção
06470-556 Rocha / ES";Sion;('PB', 'Paraíba');Espírito Santo;AM;+55 50 9 2965 4638;Tuvalu;MG;"JCB 16 digit
Alexandre Barros
3591303395819086 01/33
CVC: 485
";4921371654813018395;05/28;184;2012-07-10;2024-10-16 14:58:51;2025-07-31
15;Luiz Felipe da Rosa;367.891.205-21;yasmin77@example.com;"Pátio Eloah Peixoto, 84
Comiteco
22556-658 Azevedo / RN";Nossa Senhora Da Conceição;('AL', 'Alagoas');Ceará;GO;+55 (86) 91745 6046;Jersey;ZM;"JCB 16 digit
Henrique Farias
3541651772974770 07/32
CVC: 809
";5138545163216821;03/27;681;1970-07-06;2020-07-01 20:27:31;2025-07-31
16;Maria Luiza Ramos;968.403.715-57;rodriguescarolina@example.org;"Aeroporto Vieira, 73
Mirante
59728602 Rocha / MG";Mariano De Abreu;('MT', 'Mato Grosso');Acre;MT;+55 (80) 97183-4189;Jordânia;PL;"JCB 16 digit
Thales da Conceição
3554845642715975 10/25
CVC: 264
";676186216294;12/29;1825;1983-06-25;2013-09-13 07:58:58;2025-07-31
17;Dr. Leonardo Costa;428.376.095-10;caldeiraluiz-miguel@example.org;"Trevo Lucas Rezende, 86
Nova Suíça
59862-750 Teixeira da Prata / DF";Santa Terezinha;('MS', 'Mato Grosso do Sul');Tocantins;RS;+55 (088) 98852-5167;Turquemenistão;DZ;"JCB 16 digit
Caroline Souza
3570833097844904 03/31
CVC: 015
";3589548953877959;05/28;426;2005-04-29;1978-12-09 19:29:13;2025-07-31
18;Clarice da Mata;390.586.241-70;bfreitas@example.net;"Viaduto Nogueira, 90
Vila Antena Montanhês
52157730 Mendes / RO";Pindura Saia;('AL', 'Alagoas');Acre;SP;+55 80 92887 0852;Comores;MG;"VISA 13 digit
Emilly Lopes
4805577248055 10/27
CVC: 126
";2259259468923897;01/26;420;1990-12-05;2023-09-22 16:59:36;2025-07-31
19;Yasmin Monteiro;437.021.695-80;jesusmariana@example.com;"Pátio da Rosa, 381
Vila Minaslandia
05563-739 Souza do Campo / PI";Vila Jardim Leblon;('MT', 'Mato Grosso');Rio Grande do Sul;MG;+55 15 93065 3681;Portugal;BS;"JCB 15 digit
Ana Costa
180089603677027 04/29
CVC: 595
";6528180036098739;05/32;602;2022-10-15;2016-10-31 21:05:28;2025-07-31
20;Alice Sales;294.805.317-04;souzaevelyn@example.org;"Recanto Melissa Alves, 641
Santa Amelia
63427-385 da Rosa de Silva / MS";Varzea Da Palma;('RN', 'Rio Grande do Norte');Mato Grosso do Sul;MT;+55 (044) 97687-6060;Líbano;ES;"JCB 16 digit
Davi Lucas da Mata
3549658300965198 09/28
CVC: 737
";180056510727609;10/27;044;2003-09-06;1972-03-05 13:01:33;2025-07-31
21;Juan Campos;501.384.279-41;dda-mota@example.org;"Via Benício Alves, 49
Jardim Alvorada
62585432 Ramos / CE";Castelo;('TO', 'Tocantins');Alagoas;PA;+55 95 9 8769 2981;Costa Rica;CA;"VISA 13 digit
Ana Júlia da Cruz
4712549377337 02/28
CVC: 360
";38152342878118;03/26;359;2021-07-28;1971-01-28 00:28:11;2025-07-31
22;Vitor Campos;510.986.247-85;lnogueira@example.org;"Travessa Gabrielly Fogaça
Dom Bosco
63396084 Silveira de Cardoso / DF";Vila Copacabana;('CE', 'Ceará');Goiás;SP;+55 (060) 99904-4789;Líbano;KI;"JCB 16 digit
Ana Luiza Rodrigues
3544697621011600 07/28
CVC: 350
";3593047879881736;02/28;716;1975-08-06;2014-04-17 21:48:28;2025-07-31
23;Caroline da Rocha;642.531.078-26;luigida-rocha@example.com;"Estação Maysa Nunes, 56
Marieta 3ª Seção
76688-460 Moraes de Goiás / RJ";Vila Barragem Santa Lúcia;('MG', 'Minas Gerais');Rio Grande do Norte;DF;+55 (78) 9 0420-3164;Ilhas Marshall;TH;"VISA 16 digit
Melissa Moraes
4906925665537689 09/32
CVC: 831
";6011103498264106;03/27;717;1989-09-23;1983-07-03 16:08:34;2025-07-31
24;Luigi Porto;058.617.329-30;pda-rosa@example.com;"Esplanada de Barbosa
Satelite
39065-448 Rodrigues da Mata / BA";Boa Esperança;('MG', 'Minas Gerais');Rio de Janeiro;PB;+55 48 94467-2752;Marianas do Norte;PY;"JCB 16 digit
Milena Souza
3515517823253609 11/27
CVC: 805
";4852616234908204;04/30;946;1993-10-16;2024-09-02 21:38:01;2025-07-31
25;Lavínia Carvalho;645.830.172-35;rcardoso@example.com;"Núcleo Peixoto, 5
Vila Nova Gameleira 3ª Seção
07871016 Azevedo de Ramos / ES";Frei Leopoldo;('SC', 'Santa Catarina');Distrito Federal;AP;+55 (65) 9 3480 3367;Iraque;RW;"VISA 16 digit
Erick Dias
4657611012766004 07/28
CVC: 928
";4348069666640048;12/26;182;1978-05-14;1976-07-13 13:32:23;2025-07-31
26;Sra. Ana Clara Oliveira;913.027.684-50;da-costajulia@example.com;"Núcleo de da Cruz
Santa Maria
23254232 da Mata / PE";Piraja;('GO', 'Goiás');Sergipe;PR;+55 (028) 95536-3773;Ilhas Turcas e Caicos;RW;"JCB 16 digit
Kamilly Farias
3535477620046415 04/26
CVC: 215
";180018600854487;05/28;342;1977-06-25;2006-01-30 14:23:19;2025-07-31
27;Emanuel Correia;523.907.684-74;saleserick@example.net;"Praia de Pires, 67
Olaria
23565-494 Moraes da Praia / PB";Vila Vista Alegre;('DF', 'Distrito Federal');Pará;RR;+55 (055) 99886 3677;Camarões;SN;"JCB 16 digit
Bárbara Rezende
3573426957373655 08/30
CVC: 495
";180053717013230;10/28;795;1999-12-13;1981-05-21 23:32:40;2025-07-31
28;Maria Julia Nunes;321.940.768-40;maria-fernandarezende@example.net;"Quadra Pinto, 83
São José
83470627 Ramos do Norte / CE";Vila São Paulo;('RJ', 'Rio de Janeiro');Ceará;SC;+55 (46) 91322 5115;Jibuti;ZM;"Maestro
Julia Nunes
676166172996 10/25
CVV: 731
";565655054908;02/30;292;2018-09-23;1998-01-12 18:00:37;2025-07-31
29;Daniela da Cruz;924.387.605-83;felipeda-rocha@example.com;"Estrada Luigi Nascimento, 67
Nova Gameleira
90493256 da Costa / RO";Santana Do Cafezal;('RS', 'Rio Grande do Sul');Rio Grande do Sul;PI;+55 27 95705-6080;Samoa Americana;PT;"JCB 16 digit
Luana Ferreira
3539695790769195 05/35
CVC: 943
";213146116991385;01/27;093;1987-06-12;2002-10-31 17:35:04;2025-07-31
30;Sr. Leonardo Santos;602.375.894-00;erickalves@example.net;"Alameda Eduardo Pires, 615
Salgado Filho
41337-641 Mendes das Pedras / SP";Floresta;('RR', 'Roraima');Roraima;MT;+55 (45) 9 1606-7684;Mali;NE;"Discover
Juan Silveira
6517800506645635 03/32
CVC: 761
";3584296284734011;01/29;2854;1979-12-11;1993-01-05 17:22:11;2025-07-31
31;Sophia Viana;834.026.579-29;smoraes@example.org;"Chácara de Silva, 13
Fazendinha
29565-754 Moreira de Minas / SE";Castelo;('RS', 'Rio Grande do Sul');Pernambuco;GO;+55 11 96416 2013;Território Britânico do Oceano Índico;OM;"VISA 19 digit
João Guilherme Silveira
4121372629098395631 06/33
CVC: 913
";3558169277250018;03/34;541;2011-11-11;2000-08-29 22:42:40;2025-07-31
32;Sr. Caio Pereira;587.914.260-49;evelyn39@example.org;"Trevo Emanuella da Rocha, 96
Vila Nova Gameleira 1ª Seção
07795-077 Cunha / AP";Vila Olhos D'água;('ES', 'Espírito Santo');Goiás;RR;+55 94 9 9705-3011;Wake Island;RU;"Diners Club / Carte Blanche
Maria Vitória Novaes
30440225609199 03/34
CVC: 166
";349264954789071;07/30;494;2013-11-07;2003-08-04 23:56:11;2025-07-31
33;Otávio Duarte;103.764.829-31;tramos@example.net;"Campo Emanuelly Gonçalves, 89
São Pedro
51600-526 Correia / PI";Baleia;('MS', 'Mato Grosso do Sul');Minas Gerais;DF;+55 (43) 9 0110 9328;Quirguizistão;CF;"Diners Club / Carte Blanche
Manuela Rodrigues
30015740454485 07/27
CVC: 840
";3557880038530974;08/31;352;2006-04-28;1982-10-03 19:04:33;2025-07-31
34;Lívia Costela;073.649.512-61;kfogaca@example.com;"Viaduto de Monteiro, 78
Parque São Pedro
52953539 Barbosa de da Luz / PR";Vila São Geraldo;('PR', 'Paraná');Acre;RR;+55 (042) 92654 1089;Geórgia do Sul e Sandwich do Sul;CY;"Maestro
Pietra Pires
576300795324 11/25
CVV: 081
";4279799525634200585;10/25;8078;1986-02-01;1983-01-22 07:48:42;2025-07-31
35;Rodrigo Gomes;401.937.582-88;fogacacaua@example.com;"Condomínio Nascimento, 34
Novo Aarão Reis
03344422 Monteiro / ES";Boa Esperança;('RO', 'Rondônia');Mato Grosso do Sul;RJ;+55 (29) 91359-9075;Albânia;LU;"Diners Club / Carte Blanche
Maria Luiza Cavalcanti
30116205790288 03/32
CVC: 542
";575850463051;03/27;303;1992-09-10;2004-02-08 15:31:40;2025-07-31
36;João Felipe Ferreira;025.796.438-00;da-motaluiz-miguel@example.net;"Chácara da Conceição, 29
Ápia
03317083 Fogaça / BA";Bandeirantes;('DF', 'Distrito Federal');Rio de Janeiro;GO;+55 56 90277-1271;Man, Isle of;CY;"VISA 16 digit
Luigi Freitas
4563995672811298 06/31
CVC: 942
";4473678447676852;02/27;471;2009-05-07;2005-05-08 07:41:51;2025-07-31
37;Amanda Rezende;859.701.364-84;da-rosasofia@example.com;"Alameda Barros
Guaratã
68874803 Pires / RS";Beija Flor;('AL', 'Alagoas');Rio de Janeiro;AL;+55 (84) 93945 2589;Brasil;UY;"Mastercard
Benício Duarte
2245393208832048 11/32
CVV: 017
";30193356304599;10/34;570;1977-10-29;2008-05-04 05:01:19;2025-07-31
38;Rodrigo Costela;836.409.572-29;da-rochamurilo@example.com;"Trevo Ramos, 94
Planalto
67136249 Mendes de Goiás / PI";Santa Rosa;('CE', 'Ceará');Roraima;CE;+55 (22) 99591-0718;Estados Unidos;NZ;"Discover
Rafael Lima
6011911328106275 09/31
CVC: 510
";3599124004640164;04/29;2093;1982-12-30;1978-05-05 20:19:37;2025-07-31
39;Dra. Lara da Cruz;124.738.509-41;pietro91@example.com;"Condomínio de Pinto, 90
Marieta 3ª Seção
71474-000 Teixeira da Praia / MT";Jardim Guanabara;('RS', 'Rio Grande do Sul');Paraná;PA;+55 76 92856 3001;Áustria;EE;"JCB 15 digit
Maria Luiza Dias
213118748425033 08/27
CVC: 584
";180077312395403;12/29;465;1994-05-21;1978-05-09 11:42:05;2025-07-31
40;Leandro da Mata;485.073.926-10;enzo-gabriel45@example.net;"Aeroporto Lorenzo Porto, 17
Concórdia
46167886 Ribeiro das Pedras / PI";Guarani;('PA', 'Pará');Rio Grande do Norte;RR;+55 (28) 9 4501-9964;Japão;LS;"Discover
João Gabriel Caldeira
6510741175787729 11/29
CVC: 143
";3510107281584607;10/30;810;1975-03-05;1981-09-19 15:54:24;2025-07-31
41;Dr. Lucas Gabriel Mendes;597.486.321-64;bda-rocha@example.org;"Praia de Nascimento, 38
Varzea Da Palma
90207889 Ferreira / PI";Bonfim;('CE', 'Ceará');Mato Grosso;DF;+55 (56) 95555-8657;Filipinas;IN;"VISA 13 digit
Gabriela Moraes
4880697578020 05/34
CVC: 447
";4748520476920;06/33;487;2000-12-08;1979-07-21 13:26:13;2025-07-31
42;Letícia Duarte;921.356.804-51;sofiada-cruz@example.net;"Sítio Pereira, 14
Itaipu
88893601 Fernandes de Minas / RS";Céu Azul;('MG', 'Minas Gerais');Ceará;RN;+55 (092) 95038-2321;Venezuela;MZ;"JCB 16 digit
Giovanna da Costa
3548406439484702 07/35
CVC: 068
";213167741290233;01/30;772;1998-10-15;2000-04-05 15:53:19;2025-07-31
43;Fernando Silva;376.195.804-84;jdas-neves@example.net;"Feira Carvalho
Floramar
90883-064 Cardoso / PE";Vila Puc;('DF', 'Distrito Federal');São Paulo;RN;+55 96 9 1694 1817;Luxemburgo;DE;"Mastercard
Benjamin da Mata
5203254253424805 07/32
CVV: 796
";6011769437139235;11/25;429;1990-09-15;2018-04-06 04:16:06;2025-07-31
44;Juan Gomes;295.780.634-74;smonteiro@example.com;"Condomínio Aragão, 16
Horto
50038-768 Moreira / SC";Belvedere;('AC', 'Acre');Bahia;PI;+55 (42) 94444-6007;Chade;IL;"JCB 15 digit
Sophie Freitas
213121163812156 02/30
CVC: 136
";213120759714420;03/30;073;1989-05-31;2005-05-18 14:15:30;2025-07-31
45;Levi Correia;732.164.509-61;cardosonicole@example.net;"Esplanada Ian da Luz, 12
Solimoes
18328462 da Conceição do Galho / RJ";Urca;('PE', 'Pernambuco');Maranhão;ES;+55 (60) 94504-0504;Costa Rica;IT;"VISA 16 digit
Isadora Martins
4584512174498808 08/26
CVC: 911
";4565426762063912579;05/32;2573;1998-05-06;1977-10-13 01:42:33;2025-07-31
46;Letícia Novaes;806.947.135-20;bviana@example.com;"Conjunto Luiz Gustavo Mendes
São Damião
98025-464 Souza / RS";Ipiranga;('RN', 'Rio Grande do Norte');Rio Grande do Norte;PR;+55 (37) 93333 5935;Letônia;SZ;"JCB 16 digit
Emanuella da Mota
3500026178196931 07/26
CVC: 148
";36027492709606;07/29;286;2020-05-29;1974-01-14 07:38:14;2025-07-31
47;Leonardo Costa;438.102.596-24;elisaaragao@example.org;"Parque da Paz, 4
Beija Flor
51389-173 Sales da Praia / PI";Cônego Pinheiro 2ª Seção;('PB', 'Paraíba');Santa Catarina;RN;+55 (31) 98197-8352;Panamá;MK;"Discover
Pietro Porto
6011211335001514 04/31
CVC: 829
";374283103151932;07/29;983;2021-02-04;1999-08-03 16:14:31;2025-07-31
48;Ana Clara Souza;820.695.714-67;valentinateixeira@example.com;"Conjunto Noah Farias, 5
Teixeira Dias
68751-162 da Conceição / DF";Itatiaia;('PE', 'Pernambuco');Goiás;SC;+55 (99) 9 2470 1761;Ilhas Caiman;TR;"VISA 16 digit
Ana Júlia Freitas
4266097785188811 01/35
CVC: 582
";3564748041810223;03/27;364;1992-12-30;1994-05-21 13:54:49;2025-07-31
49;Srta. Ana Vitória Barbosa;690.837.145-00;pintovalentina@example.com;"Favela Luiz Miguel Mendes, 457
Vila Dos Anjos
71729-469 da Mota / SE";Suzana;('AL', 'Alagoas');Santa Catarina;AP;+55 (20) 99666 6920;Sara Ocidental;MR;"VISA 16 digit
Marcos Vinicius Ramos
4702649948156952 07/33
CVC: 798
";3516314723202749;08/30;7834;2006-06-27;2020-01-10 06:08:22;2025-07-31
50;Thomas Rodrigues;135.629.478-28;isaac98@example.org;"Fazenda de Oliveira, 17
Horto
17754-389 Fogaça de Monteiro / AL";Nova Pampulha;('RS', 'Rio Grande do Sul');Goiás;SP;+55 (23) 95937 3074;Paquistão;WS;"VISA 19 digit
Carolina Lima
4000683515378076639 06/33
CVC: 204
";6011159222019737;12/30;969;2016-02-20;1977-07-23 09:10:32;2025-07-31
51;Augusto Ribeiro;683.901.547-57;nascimentoalexandre@example.org;"Chácara Lorenzo da Conceição, 57
Conjunto Minas Caixa
59632026 Pires / CE";Jardim Dos Comerciarios;('CE', 'Ceará');Goiás;PR;+55 (90) 9 2801 3075;Benim;YE;"Mastercard
Luana Porto
2230382155172398 05/29
CVV: 275
";4806619556324151455;06/34;536;2014-03-23;1976-01-26 23:58:56;2025-07-31
52;Erick Sales;526.748.019-30;pereiracaue@example.net;"Via Isadora Aragão
Cidade Nova
68346-187 Pereira de Moura / MA";Vila Minaslandia;('AC', 'Acre');Mato Grosso;TO;+55 (13) 9 9730 6148;Chipre;GQ;"VISA 13 digit
Alana da Cruz
4299575346501 08/30
CVC: 384
";30111570023118;06/33;356;2019-04-04;2021-06-23 17:49:45;2025-07-31
53;Ana Vitória Silveira;762.309.418-13;aoliveira@example.com;"Recanto de Ferreira, 26
Eymard
15713-990 Rezende / RJ";Vila Madre Gertrudes 1ª Seção;('SP', 'São Paulo');Rio Grande do Norte;PR;+55 (29) 95199-5681;Ilhas Marshall;FR;"VISA 19 digit
Gabriela Porto
4932060210399131368 11/27
CVC: 435
";213167405701004;07/35;044;2022-12-07;1975-07-09 07:50:59;2025-07-31
54;Maria Cecília Ribeiro;149.876.235-28;igor21@example.net;"Colônia da Cruz, 557
Vila Ecológica
74323320 Teixeira da Mata / ES";São Cristóvão;('MS', 'Mato Grosso do Sul');Acre;ES;+55 (09) 99900 1428;Ashmore and Cartier Islands;AL;"Diners Club / Carte Blanche
Luiz Otávio Pinto
38578203036711 03/34
CVC: 897
";3554592138726898;01/31;160;2010-03-22;2006-05-18 07:35:36;2025-07-31
55;Srta. Pietra Correia;193.874.026-22;eduardoribeiro@example.net;"Viela Cardoso, 2
Vila Santa Monica 1ª Seção
85675-484 Oliveira de Costa / PE";Novo Ouro Preto;('MG', 'Minas Gerais');Roraima;PR;+55 (67) 94008 0315;Guatemala;JM;"Discover
Juan Oliveira
6011975655726641 05/28
CVC: 874
";4735188768805;04/35;977;1972-09-03;1996-06-06 07:13:06;2025-07-31
56;Thomas da Mata;609.182.347-78;saleslara@example.com;"Fazenda Costela
Jardim América
81081-844 Fogaça / DF";Virgínia;('PA', 'Pará');Pará;ES;+55 43 98048-1925;Guiné-Bissau;LK;"American Express
Paulo Novaes
348859656825056 07/34
CID: 5741
";3534733392437088;09/34;297;2025-03-30;2016-05-12 19:41:52;2025-07-31
57;Beatriz Costela;564.178.392-73;livia74@example.com;"Vale de Correia, 518
Vila Sesc
42084-397 Alves / RR";Outro;('RR', 'Roraima');Rondônia;PE;+55 (73) 95008-2197;Albânia;ZM;"JCB 16 digit
Luiz Henrique Fogaça
3574683243572925 03/31
CVC: 767
";3520023501840331;03/29;241;2022-02-20;2012-12-14 00:27:58;2025-07-31
58;Maria Vitória Silva;695.384.712-37;marcelalopes@example.com;"Chácara de da Mata, 59
Lagoinha
53302-677 Araújo do Amparo / PR";Leonina;('GO', 'Goiás');São Paulo;AM;+55 (73) 96933 7489;Malávi;ES;"Diners Club / Carte Blanche
Carolina Nunes
30169277401961 12/32
CVC: 996
";38662576674876;01/32;187;1985-07-22;2005-09-19 22:29:42;2025-07-31
59;Bernardo Melo;357.096.481-75;maria-sophiacostela@example.com;"Colônia Levi Ferreira, 172
São Vicente
20794982 Sales / RR";Vila São Gabriel;('BA', 'Bahia');Roraima;MA;+55 (97) 92120 4550;Monserrate;HN;"JCB 16 digit
Emanuelly da Paz
3577956813810876 11/29
CVC: 739
";3528028446645580;11/25;197;2002-05-17;2011-03-02 01:55:51;2025-07-31
60;Dra. Rafaela Freitas;928.156.037-21;juliacavalcanti@example.com;"Fazenda Pinto, 7
Vila Da Ária
72503-081 Cunha de Cavalcanti / RJ";Olhos D'água;('RS', 'Rio Grande do Sul');Pará;RJ;+55 (95) 98453-2664;Salvador;GW;"Discover
Carolina Nunes
6577810861053512 11/27
CVC: 556
";4533640289019;12/29;052;2006-10-30;2010-03-21 20:08:55;2025-07-31
61;Camila Peixoto;392.607.485-00;urocha@example.org;"Núcleo de da Luz, 846
Vila Nova Paraíso
72046051 Almeida do Amparo / SE";Alto Dos Pinheiros;('AM', 'Amazonas');Rio Grande do Norte;MA;+55 (26) 93716 7070;Antártica;BG;"Discover
Yago Santos
6531704190328346 05/34
CVC: 065
";3599949928639177;09/32;412;2024-05-26;2014-02-04 22:02:22;2025-07-31
62;Danilo Fogaça;490.576.213-80;djesus@example.net;"Trecho Castro, 46
Coração De Jesus
57704-233 Teixeira / MT";Vila Suzana Segunda Seção;('PE', 'Pernambuco');Goiás;SC;+55 94 96344-4488;Burundi;NG;"JCB 15 digit
Nicolas Silveira
213191233237437 11/25
CVC: 715
";676264471860;09/27;972;1973-10-07;1971-03-28 08:29:23;2025-07-31
63;Leandro Almeida;910.362.587-77;theofernandes@example.com;"Passarela Pires, 66
Vila Madre Gertrudes 2ª Seção
12196599 Rezende / BA";Serrano;('MA', 'Maranhão');Sergipe;RJ;+55 (85) 90126 4869;Índia;EG;"JCB 16 digit
Bryan Costela
3528806731763295 07/35
CVC: 332
";4943995492041801476;03/28;079;1984-12-31;1996-08-22 02:12:51;2025-07-31
64;Kevin Mendes;245.310.976-61;mda-cunha@example.com;"Praça Otávio Aragão
São Francisco
24993558 Lima / AP";Pindura Saia;('PR', 'Paraná');São Paulo;AL;+55 (95) 9 0997 7983;Coreia do Sul;NA;"JCB 15 digit
Ana Lívia Barros
180016812334918 07/27
CVC: 056
";2703347583507380;10/32;525;1988-09-28;1990-03-30 02:36:33;2025-07-31
65;Luna Peixoto;947.612.850-01;fernandesgabriela@example.net;"Lago de Ramos, 29
Nossa Senhora Da Aparecida
59153168 Monteiro de Castro / AM";Vila Nova Gameleira 2ª Seção;('PI', 'Piauí');Alagoas;PB;+55 67 9 0706 2183;Coreia do Norte;RS;"Mastercard
Stephany Rocha
2266982666856434 05/31
CVV: 693
";4195033644260089438;04/34;472;1970-02-20;1979-11-01 01:44:55;2025-07-31
66;Otávio Melo;560.492.138-60;da-luzcecilia@example.com;"Via de Porto, 775
Paulo Vi
63962140 Rezende da Prata / SC";Barão Homem De Melo 2ª Seção;('AM', 'Amazonas');Roraima;MG;+55 (51) 9 4956-6104;Benim;PH;"JCB 16 digit
Isis Teixeira
3574356528873686 05/32
CVC: 036
";4072107246793679255;10/27;725;2017-03-02;1985-02-04 13:41:42;2025-07-31
67;Benjamin da Paz;437.092.561-43;da-cunhabrenda@example.org;"Travessa da Luz, 49
Ápia
36757-206 Souza das Pedras / RS";Marieta 2ª Seção;('TO', 'Tocantins');Rondônia;RS;+55 (032) 90943-2190;Paquistão;UZ;"JCB 15 digit
Enrico Araújo
180051257710983 04/31
CVC: 511
";3526222268711347;02/30;137;1999-10-14;2014-09-28 03:47:22;2025-07-31
